sample,time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,0,-6.88604796,2.415919109,7.006439822,1.081304639,-0.320470119,-0.054404841
1,0.009765625,-6.890883692,2.411204949,7.020699137,1.081304639,-0.320470119,-0.054404841
2,0.01953125,-6.88359518,2.427830611,7.017945636,1.141749105,-0.318539562,-0.115776002
3,0.029296875,-6.878689629,2.442100304,7.010530642,1.202091383,-0.317455015,-0.115462231
4,0.0390625,-6.871971881,2.394222947,6.995182752,1.081304639,-0.320470119,-0.054404841
5,0.048828125,-6.876500418,2.4181785,6.996959809,1.08149353,-0.382133663,0.007070103
6,0.05859375,-6.881177314,2.430187691,7.010815979,1.081697906,-0.380441644,-0.11629976
7,0.068359375,-6.867136141,2.408490418,7.01135006,1.081988986,-0.441259179,-0.116509748
8,0.078125,-6.876437579,2.427733811,7.006162361,1.081697906,-0.380441644,-0.11629976
9,0.087890625,-6.86938819,2.422856911,7.015718341,1.0218356,-0.50400727,-0.055348575
10,0.09765625,-6.864795075,2.401291742,6.999734311,1.02154452,-0.443189736,-0.055138587
11,0.107421875,-6.864692089,2.418013314,7.018197006,1.021442332,-0.444035745,0.006546345
12,0.1171875,-6.897858028,2.423249222,7.00861215,1.021151252,-0.38321821,0.006756332
13,0.126953125,-6.871823513,2.41572262,7.013530263,1.081886798,-0.442105188,-0.054824816
14,0.13671875,-6.890600935,2.435097228,7.001257373,1.02096236,-0.321554666,-0.054718612
15,0.146484375,-6.864877102,2.403677458,7.035050171,0.960824458,-0.320947195,-0.178402246
16,0.15625,-6.88631326,2.396804041,7.035199322,0.900962151,-0.444512821,-0.117451061
17,0.166015625,-6.88090852,2.454079525,6.996090675,1.021151252,-0.38321821,0.006756332
18,0.17578125,-6.878783886,2.427767337,6.996726815,1.081115747,-0.258806575,-0.115879785
19,0.185546875,-6.87897588,2.413431259,7.01593821,1.081509014,-0.3187781,-0.177774705
20,0.1953125,-6.869505139,2.406134894,7.001972106,1.021355628,-0.381526192,-0.116613531
21,0.205078125,-6.876428859,2.420569106,6.980394606,1.02125344,-0.382372201,-0.054928599
22,0.21484375,-6.874113963,2.425311235,7.015655499,1.021937788,-0.503161261,-0.117033506
23,0.224609375,-6.885946721,2.430252298,7.017885419,1.0218356,-0.50400727,-0.055348575
24,0.234375,-6.878911302,2.415821642,7.001731237,1.082280066,-0.502076714,-0.116719736
25,0.244140625,-6.869438805,2.420466972,7.025208854,1.022228867,-0.563978796,-0.117243494
26,0.25390625,-6.897793442,2.435192916,7.0248318,0.961784401,-0.565909353,-0.055872333
27,0.263671875,-6.893127013,2.427960047,7.029726287,1.081886798,-0.442105188,-0.054824816
28,0.2734375,-6.850446707,2.408264181,6.987786134,1.021851084,-0.440651708,-0.240193382
29,0.283203125,-6.88133615,2.41346434,7.011219125,0.961697697,-0.503399799,-0.179032209
30,0.29296875,-6.876531829,2.422954155,7.022785157,1.021646708,-0.442343727,-0.116823519
31,0.302734375,-6.876821567,2.399061654,7.044585151,1.02125344,-0.382372201,-0.054928599
32,0.3125,-6.86250287,2.403644821,7.035052796,1.021064548,-0.320708657,-0.116403544
33,0.322265625,-6.874271051,2.410976268,7.023075743,1.081595718,-0.381287654,-0.054614829
34,0.33203125,-6.883603909,2.425442005,7.013286768,1.021355628,-0.381526192,-0.116613531
35,0.341796875,-6.871856671,2.418109892,7.032338512,1.021748896,-0.441497717,-0.178508451
36,0.3515625,-6.878899079,2.422987014,7.020424301,1.081406826,-0.31962411,-0.116089773
37,0.361328125,-6.866891776,2.43715813,7.020091873,1.081595718,-0.381287654,-0.054614829
38,0.37109375,-6.869669208,2.391799704,7.011750581,1.081595718,-0.381287654,-0.054614829
39,0.380859375,-6.881458332,2.399130484,7.006848218,1.201973711,-0.381656587,0.131067509
40,0.390625,-6.883548059,2.425443783,6.994420927,1.263291416,-0.562178634,0.069066385
41,0.400390625,-6.855436032,2.393991821,7.02349989,1.323924774,-0.621911622,0.069170168
42,0.41015625,-6.871839215,2.422887103,7.041656248,1.323240427,-0.501122562,0.131275075
43,0.419921875,-6.88123665,2.434962457,7.046074247,1.201784819,-0.319993043,0.069592564
44,0.4296875,-6.871596605,2.439613121,7.01295434,1.202280275,-0.379118559,-0.053987287
45,0.439453125,-6.864814272,2.403679458,7.0138261,1.262913633,-0.438851547,-0.053883503
46,0.44921875,-6.869414367,2.425244405,7.03216836,1.202075899,-0.380810578,0.069382577
47,0.458984375,-6.86693541,2.434768413,7.027224156,1.202280275,-0.379118559,-0.053987287
48,0.46875,-6.874148877,2.415756813,6.997020027,1.262622553,-0.378034012,-0.053673516
49,0.478515625,-6.860027408,2.408392062,7.016074395,1.202382463,-0.37827255,-0.115672219
50,0.48828125,-6.852779035,2.427404774,7.034487374,1.202673542,-0.439090085,-0.115882206
51,0.498046875,-6.86449834,2.444291087,7.036429333,1.202760246,-0.501599638,0.00727767
52,0.5078125,-6.864540235,2.434736443,7.02015209,1.202178087,-0.379964568,0.007697645
